A check backflow prevention assembly test and maintenance report shall include all of the following information except the:,BPAT,Differential pressure relief valve discharge reading,Address of the installation,Serial number of the assembly,Test results of check valve number one (1)
The by-pass line of an approved backflow prevention assembly must contain an approved assembly of equal:,BPAT,Protection,Corrosion resistance,Flow capacity,Size
An atmospheric type vacuum breaker shall not be subjected to water pressure for periods than ______ hours.,BPAT,Twelve (12),Eight (8),Twenty-four (24),None of the above
What is the most desirable place to install a backflow prevention device and or assembly?,BPAT,In an accessible location above ground,In a reinforced concrete pit,Underground, with a minimum of twelve (12) inches of cover,At or above ceiling height, to protect it from vandalism
Which of the following conditions could result in water contamination through a cross-connection?,BPAT,Turning off service to a multi-story building and allowing the water supply to drain,A vacuum created by the improper use of water hammer arresters,The use of self closing lavatory faucets,A vacuum created by the use of quick closing valves on the lower floors of a building exceeding ten (10) floors in height
What is another term that describes water quality as a health hazard resulting from backflow?,BPAT,Contamination,Isolation,Cross-connection,Contained
The venturi effect states that when the water velocity within the pipe increases, the pressure:,BPAT,Decreases,Will increase proportionately,Will remain constant,Compresses excess volumes of water
The degree of hazard is:,BPAT,Based upon the quality of a non potable water source,The acceptable temperature range of a non-potable water source,The angle of the backflow preventer,Distance between the cross-connection and the backflow preventer
Backflow may be described as either:,BPAT,Backpressure or backsiphonage,Contamination or pollution,Containment and isolation,Direct and/or indirect
The federal law placing responsibility for the protection of the public water supply on the purveyor of water is the:,BPAT,Safe drinking water act,Environmental protection agency’s primary drinking water regulations,Occupational safety and health administration regulations,Food and drug administration’s uniform plumbing code
How many inches must a pressure type vacuum breaker assembly be installed above all downstream piping?,BPAT,Twelve (12),Six (6),Eighteen (18),Twenty-four (24)
A double check backflow prevention assembly will protect the potable water supply from:,BPAT,Non-health hazard – backpressure and backsiphonage,Non-health hazard – backsiphonage,Non-health hazard – backpressure,Health hazard – backsiphonage
How many inches must an atmospheric vacuum breaker be installed above all downstream piping and highest opening?,BPAT,Six (6),Nine (9),Twelve (12),Eighteen (18)
An atmospheric vacuum breaker is installed to protect against:,BPAT,Backsiphonage – health hazard or non-health hazard conditions,Backpressure – non-health hazard conditions only,Backpressure – health hazard conditions only,Backsiphonage – non-health hazard conditions only
The term -approved reduced pressure principle assembly- applies to an assembly with two shut-off valves, four test cocks and:,BPAT,Two approved check valves and a differential pressure relief valve,Two check valves and an air inlet valve,Two approved check valves and an air inlet valve,Two approved check valves and a pressure relief valve
It is required that the test gauge be tested for accuracy at least:,BPAT,Annually,Monthly,Quarterly,Semi-annually
Undersized water piping carrying water at high velocity can cause backsiphonage due to:,BPAT,The aspirator effect,The vacuum effect,The pivot effect,The marginal effect
